code,country,score
tr,Turkey,4.1652078715553404
se,Sweden,3.9116533035916228
gr,Greece,1.3949852417686786
ua,Ukraine,1.2332712757305477
dk,Denmark,1.0325027711358392
eg,Egypt,0.9577307845143105
fi,Finland,0.9245397625370689
ro,Romania,0.9127320304677208
lb,Lebanon,0.8926093376589375
cy,Cyprus,0.7020042973920798
me,Montenegro,0.590181522302872
no,Norway,0.5440679440329127
ee,Estonia,0.4909485528153661
de,Germany,0.4691420589957298
ru,Russian Federation,0.4477491831966225
il,Israel,0.4383759502764455
ge,Georgia,0.29608898771210707
it,Italy,0.2373689816253404
bg,Bulgaria,0.19210434522327718
lv,Latvia,0.16671010265714417
UNKNOWN,,0.15000000000000002
